h3_cell,lat,lon,location_name,police_station,violation_count,violations_per_device,unique_vehicles,unique_days,CIS,rank,hotspot_status,hotspot_confidence,cis_violation_density,cis_vehicle_severity,cis_queueing_delay,cis_road_capacity_impact,cis_temporal_persistence,cis_peak_hour_ratio,bpr_delay_min_per_km,expected_n,mean_dwell,chronic_offender_count,peak_ratio,peak_description,road_type,lanes,dominant_vehicle,dominant_violation,gi_z_score,gi_p_value,lisa_label
8960145a2d7ffff,12.959823320000002,77.5560882675,Chamarajpet / Cell-d7ffff,Chamarajpet,40,2.857142857142857,39,17,8.014617404909998,1993,EMERGING,0.3,0.011828935395814377,0.265,0.000689598959915584,0.0058956916099773245,0.10666666666666667,0.125,0.0540770483867762,0.0013020617324438,99.04607820366608,0.0,0.125,Distributed throughout the day,arterial,4.0,CAR,NO PARKING,-0.2381130286814591,0.243,LL
8960145a2dbffff,12.963096607407408,77.55945408148148,Magadi Road / Cell-dbffff,Magadi Road,27,4.5,25,18,11.279967167866944,1467,EMERGING,0.3,0.022292993630573247,0.2,0.2418993121223264,0.025396825396825397,0.11333333333333333,0.037037037037037,0.0720837146950437,0.0005590345037015,27.0,0.0,0.037037037037037,Distributed throughout the day,collector,2.0,CAR,NO PARKING,-0.2620755016188437,0.199,LL
8960145a303ffff,12.957443666666668,77.52784366666667,Byatarayanapura / Cell-03ffff,Byatarayanapura,3,1.5,3,2,16.42485703909179,772,NOT_HOTSPOT,0.0,0.0031847133757961785,0.4,0.2425000554729393,0.006349206349206349,0.006666666666666667,0.3333333333333333,0.0721285610858029,0.000683582409533,99.04607820366608,0.0,0.3333333333333333,Distributed throughout the day,collector,2.0,CAR,NO PARKING | PARKING IN A MAIN ROAD,0.2128522688059387,0.193,LH
8960145a30bffff,12.9609111335786,77.52787733919696,Byatarayanapura / Cell-0bffff,Byatarayanapura,535,38.21428571428572,432,17,18.50329528774411,605,EMERGING,0.3,0.23703366696997274,0.00841121495327104,0.2520222769618526,0.23945578231292522,0.10666666666666667,0.2710280373831775,0.0728394091798381,0.0160627402713461,91.35483870967742,3.0,0.2710280373831775,Distributed throughout the day,collector,2.0,SCOOTER,WRONG PARKING,-0.1139358470400997,0.457,HL
8960145a30fffff,12.95880711,77.52508546,Byatarayanapura / Cell-0fffff,Byatarayanapura,10,5.0,9,2,10.087764966198735,1635,NOT_HOTSPOT,0.0,0.025477707006369428,0.18,0.2439696859805464,0.06031746031746032,0.006666666666666667,0.0,0.0722382712040232,0.0022786080317767,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,1.0,CAR,NO PARKING | PARKING IN A MAIN ROAD,0.310453159800778,0.144,LH
8960145a31bffff,12.9585433,77.5290366,Byatarayanapura / Cell-1bffff,Byatarayanapura,1,1.0,1,1,14.8338589573567,954,NOT_HOTSPOT,0.0,0.0,0.5,0.24169294786783488,0.0,0.0,0.0,0.0720683092944076,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,4.0,LGV,WRONG PARKING,0.2468719312071306,0.174,LH
8960145a323ffff,12.95663277263158,77.51870301614035,Byatarayanapura / Cell-23ffff,Byatarayanapura,285,17.8125,271,52,14.551546273092105,985,EMERGING,0.3,0.1070859872611465,0.06421052631578954,0.24198110777366078,0.10992063492063492,0.34,0.0701754385964912,0.0720898208629079,0.0009425080174289,11.5,1.0,0.0701754385964912,Distributed throughout the day,collector,2.0,SCOOTER,WRONG PARKING,-0.0941857269773033,0.486,HL
8960145a32bffff,12.95844054142012,77.51905910946745,Byatarayanapura / Cell-2bffff,Byatarayanapura,169,8.047619047619047,164,47,15.164873397361047,893,EMERGING,0.3,0.04488929329693661,0.1727810650887574,0.24836063540952974,0.047921390778533635,0.30666666666666664,0.1834319526627219,0.0725660621545101,0.0059615010038081,161.0,0.0,0.1834319526627219,Distributed throughout the day,collector,2.0,CAR,NO PARKING,0.0826707544134231,0.301,HH
8960145a32fffff,12.959320992419933,77.51639436379281,Byatarayanapura / Cell-2fffff,Byatarayanapura,17,3.4,16,8,9.388550545697584,1752,EMERGING,0.3,0.015286624203821656,0.0823529411764706,0.24258815459312721,0.018412698412698412,0.04666666666666667,0.1764705882352941,0.0721351378170567,0.0015494534616082,99.04607820366608,0.0,0.1764705882352941,Distributed throughout the day,collector,2.0,CAR,WRONG PARKING,0.0549901229143527,0.329,LH
8960145a333ffff,12.953484963636363,77.52009033636364,Byatarayanapura / Cell-33ffff,Byatarayanapura,11,3.6666666666666665,10,8,16.813284540915358,732,NOT_HOTSPOT,0.0,0.016985138004246284,0.44545454545454544,0.24465646976412506,0.020105820105820106,0.04666666666666667,0.1818181818181818,0.0722895406419521,0.0016709792233029,99.04607820366608,0.0,0.1818181818181818,Distributed throughout the day,collector,2.0,CAR,NO PARKING | PARKING IN A MAIN ROAD,0.0644522979682142,0.318,LH
8960145a347ffff,12.96114855801211,77.52793148947134,Byatarayanapura / Cell-47ffff,Byatarayanapura,22,2.75,22,6,20.691498191470114,386,EMERGING,0.3,0.011146496815286623,0.040909090909090916,0.7250790179916269,0.014285714285714285,0.03333333333333333,0.4545454545454545,0.1081538033181215,0.0012532344174772,99.04607820366608,0.0,0.4545454545454545,Moderate peak-hour concentration (40-60%),local,2.0,SCOOTER,WRONG PARKING,0.2299054770097813,0.183,LH
8960145a353ffff,12.961627547619049,77.53372883809523,Vijayanagara / Cell-53ffff,Vijayanagara,21,7.0,21,5,9.582569075357018,1726,NOT_HOTSPOT,0.0,0.03821656050955414,0.0952380952380953,0.24421489598805105,0.04126984126984127,0.02666666666666667,0.0952380952380952,0.0722565764982947,0.0031900512444874,99.04607820366608,0.0,0.0952380952380952,Distributed throughout the day,collector,2.0,PASSENGER AUTO,WRONG PARKING,0.3654911044727809,0.126,LH
8960145a357ffff,12.960584974683544,77.52930454978903,Byatarayanapura / Cell-57ffff,Byatarayanapura,237,18.23076923076923,219,17,11.094633643302505,1498,EMERGING,0.3,0.10975012248897599,0.010548523206751037,0.2460231870267341,0.11257631257631256,0.10666666666666667,0.0464135021097046,0.0723915681323168,0.0071299462342947,85.0,1.0,0.0464135021097046,Distributed throughout the day,collector,2.0,SCOOTER,WRONG PARKING,0.0798799364436512,0.305,HH
8960145a35bffff,12.966079317577092,77.53493575969162,Vijayanagara / Cell-5bffff,Vijayanagara,227,11.947368421052632,197,39,14.38953546752776,1020,EMERGING,0.3,0.06972846128059002,0.03524229074889869,0.24188715059190918,0.07268170426065163,0.25333333333333335,0.3480176211453744,0.0720828068185857,0.0009345090534045,17.0,6.0,0.3480176211453744,Distributed throughout the day,collector,2.0,SCOOTER,NO PARKING,0.2365995705199647,0.181,HH
8960145a38fffff,12.95149568,77.52945417999999,Byatarayanapura / Cell-8fffff,Byatarayanapura,5,5.0,5,1,20.030470033792113,424,NOT_HOTSPOT,0.0,0.025477707006369428,0.22000000000000003,0.7282477965030725,0.02857142857142857,0.0,0.0,0.1083903573793669,0.0022786080317767,99.04607820366608,0.0,0.0,Distributed throughout the day,local,2.0,CAR,NO PARKING,-0.2284903120847149,0.258,LL
8960145a393ffff,12.947473928070174,77.53348839824562,Byatarayanapura / Cell-93ffff,Byatarayanapura,57,4.75,53,23,14.762032332380985,965,EMERGING,0.3,0.02388535031847134,0.5105263157894737,0.0014216204502833921,0.011904761904761904,0.14666666666666667,0.2280701754385964,0.0541316948872621,0.0017047101532628,78.0,0.0,0.2280701754385964,Distributed throughout the day,arterial,4.0,LORRY/GOODS VEHICLE,NO PARKING | PARKING IN A MAIN ROAD,-0.3443716612466814,0.058,LL
8960145a397ffff,12.9458556,77.5298482138889,Byatarayanapura / Cell-97ffff,Byatarayanapura,36,6.0,35,17,15.678263684256985,850,NOT_HOTSPOT,0.0,0.03184713375796178,0.3833333333333333,0.24529474320587336,0.0273015873015873,0.10666666666666667,0.0833333333333333,0.0723371887102173,0.0027343296381321,99.04607820366608,0.0,0.0833333333333333,Distributed throughout the day,collector,2.5,CAR,WRONG PARKING,-0.1550001898250438,0.39,LL
8960145a39bffff,12.9481904,77.5345251,Byatarayanapura / Cell-9bffff,Byatarayanapura,3,1.0,3,3,12.808342257550635,1254,NOT_HOTSPOT,0.0,0.0,0.6333333333333334,0.0004171128775317088,0.0,0.013333333333333334,0.0,0.054056706892668,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,arterial,4.0,LORRY/GOODS VEHICLE,WRONG PARKING,-0.3599029442343667,0.042,LL
8960145a3a3ffff,12.949433305,77.52283738333334,Byatarayanapura / Cell-a3ffff,Byatarayanapura,60,12.0,52,11,19.281907184083114,470,EMERGING,0.3,0.07006369426751592,0.4533333333333333,0.2600871699411894,0.07301587301587302,0.06666666666666667,0.15,0.0734414655182287,0.0088893387749092,161.0,1.0,0.15,Distributed throughout the day,collector,2.0,CAR,NO PARKING | PARKING IN A MAIN ROAD,-0.0713490032850826,0.479,HL
8960145a3abffff,12.950796833333332,77.52196920833333,Byatarayanapura / Cell-abffff,Byatarayanapura,12,6.0,10,4,16.437675578018883,767,EMERGING,0.3,0.03184713375796178,0.3333333333333333,0.24588438551301586,0.03492063492063492,0.02,0.3333333333333333,0.0723812063914572,0.0027343296381321,99.04607820366608,0.0,0.3333333333333333,Distributed throughout the day,collector,2.0,CAR,NO PARKING | PARKING IN A MAIN ROAD,0.1167091974395234,0.265,LH
8960145a3afffff,12.951205255263158,77.52128261842104,Byatarayanapura / Cell-afffff,Byatarayanapura,38,12.666666666666666,30,9,18.443580186305404,611,EMERGING,0.3,0.07430997876857749,0.43157894736842106,0.2604778349355841,0.07724867724867725,0.05333333333333334,0.1052631578947368,0.0734706292450959,0.0093831909290708,161.0,2.0,0.1052631578947368,Distributed throughout the day,collector,2.0,CAR,NO PARKING | PARKING IN A MAIN ROAD,0.0414048487104761,0.339,HH
8960145a3b3ffff,12.947305179166667,77.52438986666667,Byatarayanapura / Cell-b3ffff,Byatarayanapura,24,6.0,24,11,19.357180346126103,462,EMERGING,0.3,0.03184713375796178,0.5375,0.2476929572517102,0.03492063492063492,0.06666666666666667,0.1666666666666666,0.0725162189801555,0.0027343296381321,99.04607820366608,0.0,0.1666666666666666,Distributed throughout the day,collector,2.0,LORRY/GOODS VEHICLE,NO PARKING | PARKING IN A MAIN ROAD,0.0581074816859023,0.325,LH
8960145a3cbffff,12.95877975,77.53569215,Vijayanagara / Cell-cbffff,Vijayanagara,8,8.0,7,1,16.699505468125462,740,NOT_HOTSPOT,0.0,0.044585987261146494,0.0,0.2435285036155542,0.047619047619047616,0.0,1.0,0.0722053362797892,0.0036457728508428,99.04607820366608,0.0,1.0,Heavy peak-hour concentration (>60%),collector,2.0,SCOOTER,NO PARKING,0.1206871646666844,0.258,HH
8960145a3cfffff,12.959229041666667,77.53301283333333,Byatarayanapura / Cell-cfffff,Byatarayanapura,12,4.0,12,4,9.546316951109597,1734,EMERGING,0.3,0.01910828025477707,0.18333333333333335,0.2434304972370085,0.022222222222222223,0.02,0.0,0.0721980199568625,0.0018228864254214,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,CAR,NO PARKING | PARKING IN A MAIN ROAD,0.1886171201075161,0.211,LH
8960145a3d3ffff,12.95318006,77.53689899999999,Byatarayanapura / Cell-d3ffff,Byatarayanapura,5,1.6666666666666667,5,3,23.253832995019142,239,NOT_HOTSPOT,0.0,0.004246284501061572,0.22000000000000003,0.7251615719024078,0.007407407407407408,0.013333333333333334,0.4,0.1081599660911889,0.0007595360105922,99.04607820366608,0.0,0.4,Distributed throughout the day,local,2.0,PASSENGER AUTO,WRONG PARKING,-0.0715549221844722,0.481,LL
8960145a3dbffff,12.958585,77.53942785000001,Vijayanagara / Cell-dbffff,Vijayanagara,2,2.0,2,1,5.137418540708426,2244,NOT_HOTSPOT,0.0,0.006369426751592357,0.0,0.24176628645307366,0.009523809523809525,0.0,0.0,0.072073784129623,0.0009114432127107,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,SCOOTER,NO PARKING,0.2413866198009068,0.177,LH
8960145a413ffff,12.9244352,77.5628167,Banashankari / Cell-13ffff,Banashankari,2,1.0,2,2,22.613114538405288,275,NOT_HOTSPOT,0.0,0.0,0.4,0.7249414412059786,0.0031746031746031746,0.006666666666666667,0.0,0.1081435330050464,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,local,2.0,LORRY/GOODS VEHICLE,NO PARKING,-0.3935686753255176,0.015,LL
8960145a417ffff,12.922898009857713,77.56052386721089,Banashankari / Cell-17ffff,Banashankari,12,2.0,12,6,13.157478386945524,1198,NOT_HOTSPOT,0.0,0.006369426751592357,0.3416666666666666,0.24276927876492863,0.009523809523809525,0.03333333333333333,0.0833333333333333,0.072148659007722,0.0009114432127107,99.04607820366608,0.0,0.0833333333333333,Distributed throughout the day,collector,2.0,TEMPO,WRONG PARKING,-0.3594972260951237,0.042,LL
8960145a423ffff,12.92674572097902,77.55081432097901,Banashankari / Cell-23ffff,Banashankari,286,23.83333333333333,266,32,16.305319069039392,780,EMERGING,0.3,0.14543524416135878,0.03776223776223775,0.24664983142820418,0.1481481481481481,0.20666666666666667,0.2692307692307692,0.0724383480753103,0.007127881634988,65.0,1.0,0.2692307692307692,Distributed throughout the day,collector,2.0,SCOOTER,NO PARKING,-0.4482984399241072,0.001,HL
8960145a427ffff,12.925706533333337,77.54938369999999,Banashankari / Cell-27ffff,Banashankari,15,2.142857142857143,15,9,21.506457374290523,328,EMERGING,0.3,0.007279344858962693,0.10666666666666669,0.7250672250557886,0.010430839002267574,0.05333333333333334,0.4,0.1081529229578008,0.0009765462993328,99.04607820366608,0.0,0.4,Distributed throughout the day,local,2.0,MOTOR CYCLE,WRONG PARKING,-0.2476676079294096,0.225,LL
8960145a42bffff,12.92991165,77.5522114,Banashankari / Cell-2bffff,Banashankari,2,2.0,2,1,23.160905841679575,243,NOT_HOTSPOT,0.0,0.006369426751592357,0.4,0.24294065150163105,0.009523809523809525,0.0,1.0,0.072161452239154,0.0009114432127107,99.04607820366608,0.0,1.0,Heavy peak-hour concentration (>60%),collector,2.0,MAXI-CAB,WRONG PARKING,-0.2487145059831338,0.224,LL
8960145a42fffff,12.9280657,77.5506862,Banashankari / Cell-2fffff,Banashankari,1,1.0,1,1,12.888813256518231,1240,EMERGING,0.3,0.0,0.4,0.2420597104449591,0.0031746031746031746,0.0,0.0,0.0720956886700308,0.0004557216063553,99.04607820366608,0.0,0.0,Distributed throughout the day,collector,2.0,MAXI-CAB,NO PARKING,-0.2365952320758753,0.242,LL
