h3_cell,forecast_method,predicted_violations_next_week,predicted_lower,predicted_upper,trend_direction,trend_slope,forecast_confidence,CIS,hotspot_status,police_station,location_name,lat,lon,trend_multiplier,predicted_risk,risk_category
8961892cb4fffff,prophet,73,34,111,RISING,2.3181614099316024,-0.060065277322692845,30.04933286183956,CONFIRMED_HIGH,Kodigehalli,Kodigehalli / Cell-4fffff,13.071126911463786,77.58826263864174,1.3,39.06413272039143,LOW
8961892446fffff,prophet,11,5,17,STABLE,0.5090335206529076,-0.09509868122393139,46.21172691296651,CONFIRMED_HIGH,Hulimavu,Hulimavu / Cell-6fffff,12.884101936554352,77.64145726615956,1.0,46.21172691296651,MODERATE
8961892440bffff,prophet,14,2,27,STABLE,0.3229292436583029,-0.7735769704724107,36.15878664973872,CONFIRMED_HIGH,Hulimavu,Hulimavu / Cell-0bffff,12.876025714225944,77.64784525062761,1.0,36.15878664973872,LOW
89618925343ffff,prophet,5,0,11,STABLE,0.03633981322310859,-2.087721163272091,28.79150694189704,EMERGING,Jeevanbheemanagar,Jeevanbheemanagar / Cell-43ffff,12.962213439350329,77.6491254724116,1.0,28.79150694189704,LOW
8961892e98fffff,prophet,27,8,47,STABLE,-0.8140315447140348,-0.4354302567372046,28.763754666762352,CONFIRMED_HIGH,Shivajinagar,Shivajinagar / Cell-8fffff,12.9805762528169,77.61348012934272,1.0,28.763754666762352,LOW
8960145b4b7ffff,prophet,5,0,14,STABLE,-0.10587800403773012,-3.186182478464742,28.664894540305564,EMERGING,Halasuru Gate,Halasuru Gate / Cell-b7ffff,12.968021816417911,77.58575714925374,1.0,28.664894540305564,LOW
8960145b49bffff,prophet,11,0,47,FALLING,-1.8653303296162242,-6.02778188758554,30.905515967033363,EMERGING,Cubbon Park,Cubbon Park / Cell-9bffff,12.97138355269231,77.59759996884615,0.7,21.633861176923354,LOW
8961892e917ffff,prophet,227,117,326,RISING,4.114043605145498,0.0788271918520752,37.70307467471741,CONFIRMED_HIGH,Shivajinagar,Shivajinagar / Cell-17ffff,12.982282384777228,77.61066029148515,1.3,49.013997077132636,MODERATE
89601458627ffff,prophet,5,0,10,STABLE,0.11038308185762442,-1.435351830924307,35.21236151498772,EMERGING,Rajajinagar,Rajajinagar / Cell-27ffff,12.99999042987013,77.52518655714286,1.0,35.21236151498772,LOW
8961892e6cbffff,prophet,6,0,15,STABLE,0.007407489709528913,-2.5215133345015555,39.48122593908449,EMERGING,K.R. Pura,K.R. Pura / Cell-cbffff,13.003459968253969,77.72348583968254,1.0,39.48122593908449,LOW
